postcode,ap_monitor,buffer_km,area_overlap,percent_overlap
2766,St Marys,5,1426200.07194401,5.23599647491665
2766,Prospect ,5,3683463.05077075,13.5230672952024
2767,Prospect ,5,4534413.31098255,44.8549178639786
2768,Rouse Hill,5,3209469.85131495,35.5830410752506
2769,Rouse Hill,5,4653125.39393704,100
2770,St Marys,5,3402005.18932577,13.757538430833
2774,Penrith,5,1738.24321929738,0.0081606501625819
2777,Penrith,5,542557.676781728,0.9912928530727
2787,Oakdale,5,5175784.45046641,0.111720831375077
2794,Cowra,5,78217228.6524584,5.55415362402018
2795,Bathurst,5,78217228.6521555,1.47370460614291
2800,Orange,5,78217228.6520604,3.92272599875129
2830,Dubbo,5,78217228.6511604,2.59545216215087
2870,Parkes,5,78217228.6518316,3.40002368431479
2000,Randwick,10,4287406.93789913,100
2000,Earlwood,10,4238992.80108019,98.8707827943512
2000,Alexandria,10,4287406.93789913,100
2000,Cook and Phillip,10,4287406.93789913,100
2000,Rozelle,10,4287406.93789913,100
2000,Bradfield Highway,10,4287406.93789913,100
2000,Cammeray,10,4287406.93789913,100
2006,Randwick,10,677968.564915197,100
2006,Earlwood,10,677968.564915197,100
2006,Alexandria,10,677968.564915197,100
2006,Cook and Phillip,10,677968.564915197,100
2006,Rozelle,10,677968.564915197,100
2006,Bradfield Highway,10,677968.564915197,100
2006,Cammeray,10,677968.564915197,100
2007,Randwick,10,558413.380096496,100
2007,Earlwood,10,558413.380096496,100
2007,Alexandria,10,558413.380096496,100
2007,Cook and Phillip,10,558413.380096496,100
2007,Rozelle,10,558413.380096496,100
2007,Bradfield Highway,10,558413.380096496,100
2007,Cammeray,10,558413.380096496,100
2008,Randwick,10,844643.893602164,100
2008,Earlwood,10,844643.893602164,100
2008,Alexandria,10,844643.893602164,100
2008,Cook and Phillip,10,844643.893602164,100
2008,Rozelle,10,844643.893602164,100
2008,Bradfield Highway,10,844643.893602164,100
2008,Cammeray,10,844643.893602164,100
2009,Randwick,10,932614.059854661,100
2009,Earlwood,10,932614.059854661,100
2009,Alexandria,10,932614.059854661,100
2009,Cook and Phillip,10,932614.059854661,100
2009,Rozelle,10,932614.059854661,100
2009,Bradfield Highway,10,932614.059854661,100
2009,Cammeray,10,932614.059854661,100
2010,Randwick,10,2173296.2055983,100
2010,Earlwood,10,2173296.2055983,100
2010,Alexandria,10,2173296.2055983,100
2010,Cook and Phillip,10,2173296.2055983,100
2010,Rozelle,10,2173296.2055983,100
2010,Bradfield Highway,10,2173296.2055983,100
2010,Cammeray,10,2173296.2055983,100
2011,Randwick,10,1401350.60320673,100
2011,Earlwood,10,1055668.51240566,75.3322195023827
2011,Alexandria,10,1401350.60320673,100
2011,Cook and Phillip,10,1401350.60320673,100
2011,Rozelle,10,1401350.60320673,100
2011,Bradfield Highway,10,1401350.60320673,100
2011,Cammeray,10,1401350.60320673,100
2015,Randwick,10,4215361.13444338,100
2015,Earlwood,10,4215361.13444338,100
2015,Alexandria,10,4215361.13444338,100
2015,Cook and Phillip,10,4215361.13444338,100
2015,Rozelle,10,4215361.13444338,100
2015,Bradfield Highway,10,4215361.13444338,100
2015,Cammeray,10,3261828.33706169,77.3795704099833
2016,Randwick,10,1171717.59823091,100
2016,Earlwood,10,1171717.59823091,100
2016,Alexandria,10,1171717.59823091,100
2016,Cook and Phillip,10,1171717.59823091,100
2016,Rozelle,10,1171717.59823091,100
2016,Bradfield Highway,10,1171717.59823091,100
2016,Cammeray,10,1171717.59823091,100
2017,Randwick,10,1938656.50204415,100
2017,Earlwood,10,1938656.50204415,100
2017,Alexandria,10,1938656.50204415,100
2017,Cook and Phillip,10,1938656.50204415,100
2017,Rozelle,10,1938656.50204415,100
2017,Bradfield Highway,10,1938656.50204415,100
2017,Cammeray,10,1938656.50204415,100
2018,Randwick,10,3930975.3020395,100
2018,Earlwood,10,3930975.3020395,100
2018,Alexandria,10,3930975.3020395,100
2018,Cook and Phillip,10,3930975.3020395,100
2018,Rozelle,10,3930975.3020395,100
2018,Bradfield Highway,10,3285512.67861349,83.5800895749428
2018,Cammeray,10,660241.90152063,16.7958801770664
2019,Randwick,10,6798888.61535881,100
2019,Earlwood,10,6798888.61535881,100
2019,Alexandria,10,6798888.61535881,100
